DIVISION,DATE,FIXTURE,HOME TEAM,AWAY TEAM,Team_Home,PPG_Home,Last8_Home,Team_Away,PPG_Away,Last8_Away
EPL,27/04/19,Frankfurt - Hertha Berlin,Frankfurt,Hertha Berlin,Frankfurt,0.7158469945355191,0.8654545454545454,Hertha Berlin,0.3989071038251366,0.18181818181818182
EPL,27/04/19,Hannover 96 - FSV Mainz,Hannover 96,FSV Mainz,Hannover 96,0.0,0.0,FSV Mainz,0.360655737704918,0.2727272727272727
EPL,27/04/19,RB Leipzig - Freiburg,RB Leipzig,Freiburg,RB Leipzig,0.8306010928961748,0.9090909090909091,Freiburg,0.3387978142076503,0.4109090909090909
EPL,27/04/19,Stuttgart - Moenchengladb.,Stuttgart,Moenchengladb.,Stuttgart,0.13114754098360654,0.2727272727272727,Moenchengladb.,0.6994535519125683,0.4109090909090909
EPL,28/04/19,Hoffenheim - Wolfsburg,Hoffenheim,Wolfsburg,Hoffenheim,0.6229508196721312,0.7745454545454545,Wolfsburg,0.5846994535519126,0.5927272727272727
EPL,28/04/19,FC Nürnberg - Bayern Munich,FC Nürnberg,Bayern Munich,FC Nürnberg,0.07650273224043716,0.2727272727272727,Bayern Munich,1.0,1.0
EPL,03/05/19,FSV Mainz - RB Leipzig,FSV Mainz,RB Leipzig,FSV Mainz,0.360655737704918,0.2727272727272727,RB Leipzig,0.8306010928961748,0.9090909090909091
EPL,04/05/19,Bayern Munich - Hannover 96,Bayern Munich,Hannover 96,Bayern Munich,1.0,1.0,Hannover 96,0.0,0.0
EPL,04/05/19,Hertha Berlin - Stuttgart,Hertha Berlin,Stuttgart,Hertha Berlin,0.3989071038251366,0.18181818181818182,Stuttgart,0.13114754098360654,0.2727272727272727
EPL,04/05/19,Moenchengladb. - Hoffenheim,Moenchengladb.,Hoffenheim,Moenchengladb.,0.6994535519125683,0.4109090909090909,Hoffenheim,0.6229508196721312,0.7745454545454545
EPL,04/05/19,Wolfsburg - FC Nürnberg,Wolfsburg,FC Nürnberg,Wolfsburg,0.5846994535519126,0.5927272727272727,FC Nürnberg,0.07650273224043716,0.2727272727272727
EPL,04/05/19,Werder Bremen - Dortmund,Werder Bremen,Dortmund,Werder Bremen,0.6065573770491803,0.7272727272727273,Dortmund,0.983606557377049,0.7272727272727273
EPL,05/05/19,Schalke 04 - FC Augsburg,Schalke 04,FC Augsburg,Schalke 04,0.24590163934426232,0.2290909090909091,FC Augsburg,0.26775956284153,0.45454545454545453
EPL,05/05/19,Freiburg - Düsseldorf,Freiburg,Düsseldorf,Freiburg,0.3387978142076503,0.4109090909090909,Düsseldorf,0.4371584699453552,0.5454545454545454
EPL,05/05/19,Leverkusen - Frankfurt,Leverkusen,Frankfurt,Leverkusen,0.5846994535519126,0.5454545454545454,Frankfurt,0.7158469945355191,0.8654545454545454
EPL,11/05/19,Dortmund - Düsseldorf,Dortmund,Düsseldorf,Dortmund,0.983606557377049,0.7272727272727273,Düsseldorf,0.4371584699453552,0.5454545454545454
EPL,11/05/19,FC Augsburg - Hertha Berlin,FC Augsburg,Hertha Berlin,FC Augsburg,0.26775956284153,0.45454545454545453,Hertha Berlin,0.3989071038251366,0.18181818181818182
EPL,11/05/19,FC Nürnberg - Moenchengladb.,FC Nürnberg,Moenchengladb.,FC Nürnberg,0.07650273224043716,0.2727272727272727,Moenchengladb.,0.6994535519125683,0.4109090909090909
EPL,11/05/19,Frankfurt - FSV Mainz,Frankfurt,FSV Mainz,Frankfurt,0.7158469945355191,0.8654545454545454,FSV Mainz,0.360655737704918,0.2727272727272727
EPL,11/05/19,Hannover 96 - Freiburg,Hannover 96,Freiburg,Hannover 96,0.0,0.0,Freiburg,0.3387978142076503,0.4109090909090909
EPL,11/05/19,Hoffenheim - Werder Bremen,Hoffenheim,Werder Bremen,Hoffenheim,0.6229508196721312,0.7745454545454545,Werder Bremen,0.6065573770491803,0.7272727272727273
EPL,11/05/19,Leverkusen - Schalke 04,Leverkusen,Schalke 04,Leverkusen,0.5846994535519126,0.5454545454545454,Schalke 04,0.24590163934426232,0.2290909090909091
EPL,11/05/19,RB Leipzig - Bayern Munich,RB Leipzig,Bayern Munich,RB Leipzig,0.8306010928961748,0.9090909090909091,Bayern Munich,1.0,1.0
